Coefficient,Value
C0,-0.198943872
C1,0.085557266
C2,0.242805946
C3,-0.055359364
C4,0.004401585
C5,-0.000117779
C6,-0.102112255
C7,-0.293345624
C8,0.216862442
C9,-0.03630561
C10,0.002656093
C11,-7.10494E-05
C12,0.297887745
C13,-0.25523775
C14,0.131030064
C15,-0.016199931
C16,0.000884598
C17,-1.77E-05
C18,0.302112255
C19,0.085557266
C20,0.242805946
C21,-0.055359364
C22,0.004401585
C23,-0.000117779
C24,0.398943872
C25,-0.293345624
C26,0.216862442
C27,-0.03630561
C28,0.002656093
C29,-7.10494E-05
C30,0.798943872
C31,-0.25523775
C32,0.131030064
C33,-0.016199931
C34,0.000884598
C35,-1.77E-05
